user_id,user_type,display_name,reputation,user_link,badge_id,link,name,rank
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,13,http://stackoverflow.com/users/1090629/msakya,Yearling,silver
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,2,http://stackoverflow.com/users/1090629/msakya,Student,bronze
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,36,http://stackoverflow.com/users/1090629/msakya,Stellar Question,gold
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,10,http://stackoverflow.com/users/1090629/msakya,Scholar,bronze
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,26,http://stackoverflow.com/users/1090629/msakya,Popular Question,bronze
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,27,http://stackoverflow.com/users/1090629/msakya,Notable Question,silver
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,20,http://stackoverflow.com/users/1090629/msakya,Nice Question,bronze
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,22,http://stackoverflow.com/users/1090629/msakya,Great Question,gold
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,21,http://stackoverflow.com/users/1090629/msakya,Good Question,silver
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,33,http://stackoverflow.com/users/1090629/msakya,Favorite Question,silver
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,28,http://stackoverflow.com/users/1090629/msakya,Famous Question,gold
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,3,http://stackoverflow.com/users/1090629/msakya,Editor,bronze
1504276,registered,user1504276,2338,http://stackoverflow.com/users/1504276/user1504276,2278,http://stackoverflow.com/users/1090629/msakya,Custodian,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,13,http://stackoverflow.com/users/1090629/msakya,Yearling,silver
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,1108,http://stackoverflow.com/users/1090629/msakya,Vox Populi,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,63,http://stackoverflow.com/users/1090629/msakya,Tumbleweed,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,1,http://stackoverflow.com/users/1090629/msakya,Teacher,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,11,http://stackoverflow.com/users/1090629/msakya,Taxonomist,silver
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,6,http://stackoverflow.com/users/1090629/msakya,Supporter,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,804,http://stackoverflow.com/users/1090629/msakya,Suffrage,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,2,http://stackoverflow.com/users/1090629/msakya,Student,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,36,http://stackoverflow.com/users/1090629/msakya,Stellar Question,gold
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,14,http://stackoverflow.com/users/1090629/msakya,Self-Learner,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,10,http://stackoverflow.com/users/1090629/msakya,Scholar,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,414,http://stackoverflow.com/users/1090629/msakya,r,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,267,http://stackoverflow.com/users/1090629/msakya,python,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,220,http://stackoverflow.com/users/1090629/msakya,Promoter,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,62,http://stackoverflow.com/users/1090629/msakya,Populist,gold
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,26,http://stackoverflow.com/users/1090629/msakya,Popular Question,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,1914,http://stackoverflow.com/users/1090629/msakya,pandas,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,5,http://stackoverflow.com/users/1090629/msakya,Organizer,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,27,http://stackoverflow.com/users/1090629/msakya,Notable Question,silver
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,20,http://stackoverflow.com/users/1090629/msakya,Nice Question,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,23,http://stackoverflow.com/users/1090629/msakya,Nice Answer,bronze
919872,registered,Zelazny7,11287,http://stackoverflow.com/users/919872/zelazny7,17,http://stackoverflow.com/users/1090629/msakya,Necromancer,silver
